,(Revenue Report),이번 달로 가기,총매출,PACK,CARTON,GROCERY,MISC,VAPE,KRATOM,TOBACCO,BEER,후카,메인포스,카드,잡화 비율,카드/총매출,,,주,주별 평균 매출,평균 담배 갑 ,평균 담배보루,평균 그로서리,평균 잡화,평균 베입,평균 크레이톰,평균 토바코,평균 맥주,누락,주별 총 누락,,Total,Cig,Groc,Misc,Tob,Beer,,
,,6/25/2018 Mon,$822.21,$178.51,$79.90,$2.99,$409.15,,,$40.40,$36.44,,-$712.21,$512.28,54.74%,62.31%,71.93%,,Week 14,$823.93,$184.05,$25.05,$6.67,$453.25,,,$50.50,$32.97,$110.00,"$1,358.07",6/25/2018 Mon,$822.21,$258.41,$2.99,$409.15,$40.40,$36.44,,
,,6/26/2018 Tue,$597.78,$228.69,$0.00,$6.47,$251.44,,,$29.77,$31.65,,-$394.28,$252.69,46.27%,42.27%,64.09%,,,,,,,,,,,,$203.50,,6/26/2018 Tue,$597.78,$228.69,$6.47,$251.44,$29.77,$31.65,,
,,6/27/2018 Wed,$719.00,$143.93,$0.00,$9.25,$454.24,,,$43.49,$17.67,,-$554.00,$337.28,69.49%,46.91%,60.88%,,,,,,,,,,,,$165.00,,6/27/2018 Wed,$719.00,$143.93,$9.25,$454.24,$43.49,$17.67,,
,,6/28/2018 Thu,$902.39,$162.84,$0.00,$12.24,$535.10,,,$65.24,$49.96,,-$748.39,$570.54,65.23%,63.23%,76.24%,,,,,,,,,,,,$154.00,,6/28/2018 Thu,$902.39,$162.84,$12.24,$535.10,$65.24,$49.96,,
,,6/29/2018 Fri,$729.62,$227.67,$0.00,$3.28,$347.60,,,$47.16,$37.50,,-$515.12,$392.33,52.41%,53.77%,76.16%,,,,,,,,,,,,$214.50,,6/29/2018 Fri,$729.62,$227.67,$3.28,$347.60,$47.16,$37.50,,
,,6/30/2018 Sat,"$1,109.04",$146.33,$95.45,$9.45,$672.82,,,$51.05,$33.04,,-$906.34,$732.30,66.73%,66.03%,80.80%,,,,,,,,,,,,$202.70,,6/30/2018 Sat,"$1,109.04",$241.78,$9.45,$672.82,$51.05,$33.04,,
2018년 7월,매출 보고,7/1/2018 Sun,$887.47,$200.40,$0.00,$2.99,$502.38,,,$76.40,$24.56,,-$579.10,$443.60,62.27%,49.98%,76.60%,,,,,,,,,,,,$308.37,,7/1/2018 Sun,$887.47,$200.40,$2.99,$502.38,$76.40,$24.56,,
,,7/2/2018 Mon,$913.00,$134.56,$223.70,$9.24,$366.59,,,$48.44,$47.40,,-$747.98,$595.88,44.17%,65.27%,79.67%,,Week 15,"$1,045.13",$162.19,$74.77,$6.72,$618.09,,,$56.68,$31.59,$165.02,"$2,413.20",7/2/2018 Mon,$913.00,$358.26,$9.24,$366.59,$48.44,$47.40,,
실제 수익,"$30,597.22",7/3/2018 Tue,"$1,279.66",$151.56,$79.90,$1.00,$832.85,,,$57.70,$40.26,,-$784.18,$575.05,71.59%,44.94%,73.33%,,,,,,,,,,,,$495.48,,7/3/2018 Tue,"$1,279.66",$231.46,$1.00,$832.85,$57.70,$40.26,,
보고 수익,"$22,318.57",7/4/2018 Wed,$900.65,$204.78,$0.00,$6.47,$494.07,,,$91.64,$21.75,,-$645.45,$476.54,60.34%,52.91%,73.83%,,,,,,,,,,,,$255.20,,7/4/2018 Wed,$900.65,$204.78,$6.47,$494.07,$91.64,$21.75,,
카드 수익,"$16,482.73",7/5/2018 Thu,"$1,255.97",$137.37,$0.00,$8.98,$894.26,,,$62.75,$38.36,,-$738.95,$524.84,78.32%,41.79%,71.03%,,,,,,,,,,,,$517.02,,7/5/2018 Thu,"$1,255.97",$137.37,$8.98,$894.26,$62.75,$38.36,,
,"$5,835.84",7/6/2018 Fri,$941.89,$207.64,$0.00,$3.87,$577.55,,,$49.25,$17.85,,-$776.24,$586.80,67.45%,62.30%,75.60%,,,,,,,,,,,,$165.65,,7/6/2018 Fri,$941.89,$207.64,$3.87,$577.55,$49.25,$17.85,,
담배 수익,"$7,859.58",7/7/2018 Sat,"$1,103.78",$155.80,$95.45,$10.98,$657.15,,,$39.01,$44.96,,-$708.95,$465.10,65.49%,42.14%,65.60%,,,,,,,,,,,,$394.83,,7/7/2018 Sat,"$1,103.78",$251.25,$10.98,$657.15,$39.01,$44.96,,
그로서리 수익,$247.16,7/8/2018 Sun,$920.93,$143.60,$124.35,$6.47,$504.18,,,$47.99,$10.58,,-$500.93,$325.11,60.22%,35.30%,64.90%,,,,,,,,,,,,$420.00,,7/8/2018 Sun,$920.93,$267.95,$6.47,$504.18,$47.99,$10.58,,
잡화 수익,"$17,574.88",7/9/2018 Mon,$464.60,$186.10,$0.00,$5.49,$197.19,,,$26.96,$6.56,,-$232.29,$180.69,46.69%,38.89%,77.79%,,Week 16,$998.41,$178.19,$70.71,$8.51,$592.61,,,$40.73,$16.83,$232.31,"$1,813.62",7/9/2018 Mon,$464.60,$186.10,$5.49,$197.19,$26.96,$6.56,,
토바코 수익,"$1,405.68",7/10/2018 Tue,$939.76,$141.61,$0.00,$3.49,$642.06,,,$51.36,$15.74,,-$635.20,$492.62,75.15%,52.42%,77.55%,,,,,,,,,,,,$304.56,,7/10/2018 Tue,$939.76,$141.61,$3.49,$642.06,$51.36,$15.74,,
맥주 수익,$919.77,7/11/2018 Wed,"$1,429.02",$163.67,$319.60,$8.95,$747.85,,,$32.51,$26.44,,"-$1,149.48",$910.05,57.57%,63.68%,79.17%,,,,,,,,,,,,$279.54,,7/11/2018 Wed,"$1,429.02",$483.27,$8.95,$747.85,$32.51,$26.44,,
,,7/12/2018 Thu,$834.52,$202.44,$0.00,$9.25,$474.11,,,$46.01,$26.78,,-$569.67,$440.86,62.49%,52.83%,77.39%,,,,,,,,,,,,$264.85,,7/12/2018 Thu,$834.52,$202.44,$9.25,$474.11,$46.01,$26.78,,
,,7/13/2018 Fri,"$1,109.22",$173.60,$95.45,$13.44,$632.30,,,$81.73,$11.78,,-$878.69,$700.70,62.70%,63.17%,79.74%,,,,,,,,,,,,$230.53,,7/13/2018 Fri,"$1,109.22",$269.05,$13.44,$632.30,$81.73,$11.78,,
,,7/14/2018 Sat,"$1,323.38",$232.61,$79.90,$14.96,$832.70,,,$23.26,$19.56,,"-$1,041.58",$817.61,69.21%,61.78%,78.50%,,,,,,,,,,,,$281.80,,7/14/2018 Sat,"$1,323.38",$312.51,$14.96,$832.70,$23.26,$19.56,,
,,7/15/2018 Sun,$888.38,$147.32,$0.00,$3.98,$622.06,,,$23.26,$10.94,,-$668.35,$512.21,77.02%,57.66%,76.64%,,,,,,,,,,,,$220.03,,7/15/2018 Sun,$888.38,$147.32,$3.98,$622.06,$23.26,$10.94,,
,,7/16/2018 Mon,"$1,084.59",$254.73,$155.80,$6.98,$465.52,,,$40.77,$62.12,,-$897.57,$599.77,47.21%,55.30%,66.82%,,Week 17,"$1,002.79",$233.20,$55.36,$8.39,$562.52,,,$43.39,$31.49,$187.02,"$1,559.65",7/16/2018 Mon,"$1,084.59",$410.53,$6.98,$465.52,$40.77,$62.12,,
,,7/17/2018 Tue,$712.10,$219.17,$0.00,$1.99,$389.57,,,$19.41,$17.16,,-$315.08,$194.49,60.18%,27.31%,61.73%,,,,,,,,,,,,$397.02,,7/17/2018 Tue,$712.10,$219.17,$1.99,$389.57,$19.41,$17.16,,
,,7/18/2018 Wed,$792.53,$195.89,$0.00,$5.47,$467.02,,,$30.58,$21.46,,-$713.81,$560.16,64.82%,70.68%,78.47%,,,,,,,,,,,,$78.72,,7/18/2018 Wed,$792.53,$195.89,$5.47,$467.02,$30.58,$21.46,,
,,7/19/2018 Thu,$881.59,$163.89,$0.00,$6.86,$546.64,,,$45.76,$38.22,,-$665.77,$557.38,68.21%,63.22%,83.72%,,,,,,,,,,,,$215.82,,7/19/2018 Thu,$881.59,$163.89,$6.86,$546.64,$45.76,$38.22,,
,,7/20/2018 Fri,"$1,272.69",$265.17,$0.00,$22.68,$765.18,,,$89.74,$18.76,,"-$1,129.78",$808.80,66.14%,63.55%,71.59%,,,,,,,,,,,,$142.91,,7/20/2018 Fri,"$1,272.69",$265.17,$22.68,$765.18,$89.74,$18.76,,
,,7/21/2018 Sat,"$1,227.10",$216.61,$79.90,$7.96,$752.48,,,$21.46,$25.37,,"-$1,079.39",$829.46,67.45%,67.60%,76.85%,,,,,,,,,,,,$147.71,,7/21/2018 Sat,"$1,227.10",$296.51,$7.96,$752.48,$21.46,$25.37,,
,,7/22/2018 Sun,"$1,048.93",$316.97,$151.80,$6.77,$551.24,,,$56.00,$37.36,,-$658.48,$525.89,57.81%,50.14%,79.86%,,,,,,,,,,,,$390.45,,7/22/2018 Sun,"$1,048.93",$468.77,$6.77,$551.24,$56.00,$37.36,,
,,7/23/2018 Mon,$949.67,$136.76,$98.90,$6.86,$587.03,,,$22.85,$10.88,,-$788.04,$614.71,68.00%,64.73%,78.00%,,Week 18,$904.91,$203.36,$35.28,$7.73,$501.96,,,$41.63,$37.47,$161.63,"$1,575.94",7/23/2018 Mon,$949.67,$235.66,$6.86,$587.03,$22.85,$10.88,,
,,7/24/2018 Tue,$832.32,$187.20,$79.90,$19.34,$399.39,,,$43.22,$27.54,,-$482.24,$375.64,52.78%,45.13%,77.89%,,,,,,,,,,,,$350.08,,7/24/2018 Tue,$832.32,$267.10,$19.34,$399.39,$43.22,$27.54,,
,,7/25/2018 Wed,$625.28,$190.75,$0.00,$5.37,$332.11,,,$33.57,$32.46,,-$538.51,$280.21,58.43%,44.81%,52.03%,,,,,,,,,,,,$86.77,,7/25/2018 Wed,$625.28,$190.75,$5.37,$332.11,$33.57,$32.46,,
,,7/26/2018 Thu,$910.42,$294.94,$0.00,$2.74,$445.22,,,$28.75,$56.31,,-$721.56,$515.02,53.79%,56.57%,71.38%,,,,,,,,,,,,$188.86,,7/26/2018 Thu,$910.42,$294.94,$2.74,$445.22,$28.75,$56.31,,
,,7/27/2018 Fri,"$1,046.71",$120.03,$0.00,$6.79,$736.58,,,$58.96,$29.13,,-$716.15,$450.97,77.41%,43.08%,62.97%,,,,,,,,,,,,$330.56,,7/27/2018 Fri,"$1,046.71",$120.03,$6.79,$736.58,$58.96,$29.13,,
,,7/28/2018 Sat,"$1,132.19",$207.12,$8.23,$8.23,$707.71,,,$53.26,$52.84,,-$893.48,$616.34,68.76%,54.44%,68.98%,,,,,,,,,,,,$238.71,,7/28/2018 Sat,"$1,132.19",$215.35,$8.23,$707.71,$53.26,$52.84,,
,,7/29/2018 Sun,$837.76,$286.71,$59.95,$4.77,$305.70,,,$50.82,$53.12,,-$618.43,$477.23,40.14%,56.97%,77.17%,,,,,,,,,,,,$219.33,,7/29/2018 Sun,$837.76,$346.66,$4.77,$305.70,$50.82,$53.12,,
,,7/30/2018 Mon,"$1,250.68",$149.77,$141.80,$15.34,$790.15,,,$13.43,$26.43,,-$866.14,$646.35,69.50%,51.68%,74.62%,,Week 19,"$1,202.71",$234.10,$54.50,$10.49,$710.72,,,$47.84,$34.98,$384.54,"$2,394.57",7/30/2018 Mon,"$1,250.68",$291.57,$15.34,$790.15,$13.43,$26.43,,
,,7/31/2018 Tue,$800.43,$196.28,$79.90,$9.45,$356.04,,,$38.83,$47.09,,-$577.10,$382.65,48.93%,47.81%,66.31%,,,,,,,,,,,,$223.33,,7/31/2018 Tue,$800.43,$276.18,$9.45,$356.04,$38.83,$47.09,,
2018년 8월,매출 보고,8/1/2018 Wed,"$1,005.81",$342.13,$0.00,$8.40,$479.03,,,$53.17,$31.55,,-$637.68,$438.58,52.39%,43.60%,68.78%,,,,,,,,,,,,$368.13,,8/1/2018 Wed,"$1,005.81",$342.13,$8.40,$479.03,$53.17,$31.55,,
,,8/2/2018 Thu,"$1,154.64",$280.22,$0.00,$2.78,$695.87,,,$39.60,$20.16,,-$576.13,$426.40,66.29%,36.93%,74.01%,,,,,,,,,,,,$578.51,,8/2/2018 Thu,"$1,154.64",$280.22,$2.78,$695.87,$39.60,$20.16,,
실제 수익,"$35,876.98",8/3/2018 Fri,"$1,740.42",$234.71,$159.80,$9.16,"$1,012.05",,,$103.96,$62.42,,"-$1,316.88",$932.75,63.96%,53.59%,70.83%,,,,,,,,,,,,$423.54,,8/3/2018 Fri,"$1,740.42",$394.51,$9.16,"$1,012.05",$103.96,$62.42,,
보고 수익,"$26,069.59",8/4/2018 Sat,"$1,636.65",$286.89,$0.00,$15.35,"$1,114.93",,,$36.56,$34.02,,"-$1,345.09","$1,028.51",74.93%,62.84%,76.46%,,,,,,,,,,,,$291.56,,8/4/2018 Sat,"$1,636.65",$286.89,$15.35,"$1,114.93",$36.56,$34.02,,
카드 수익,"$18,832.29",8/5/2018 Sun,$830.35,$148.73,$0.00,$12.94,$526.96,,,$49.35,$23.17,,-$705.39,$484.02,69.81%,58.29%,68.62%,,,,,,,,,,,,$124.96,,8/5/2018 Sun,$830.35,$148.73,$12.94,$526.96,$49.35,$23.17,,
,"$17,613.86",8/6/2018 Mon,$854.37,$338.64,$0.00,$18.80,$336.63,,,$25.61,$56.96,,-$747.39,$566.33,43.34%,66.29%,75.77%,,Week 20,"$1,240.68",$257.71,$14.13,$16.79,$722.44,,,$67.49,$49.23,$106.98,"$2,042.40",8/6/2018 Mon,$854.37,$338.64,$18.80,$336.63,$25.61,$56.96,,
담배 수익,"$8,455.73",8/7/2018 Tue,$942.30,$168.49,$0.00,$13.15,$579.63,,,$51.32,$43.95,,-$705.02,$488.17,67.66%,51.81%,69.24%,,,,,,,,,,,,$237.28,,8/7/2018 Tue,$942.30,$168.49,$13.15,$579.63,$51.32,$43.95,,
그로서리 수익,$340.18,8/8/2018 Wed,"$1,259.56",$165.25,$0.00,$32.66,$770.52,,,$117.93,$58.60,,-$735.16,$669.40,67.29%,53.15%,91.06%,,,,,,,,,,,,$524.40,,8/8/2018 Wed,"$1,259.56",$165.25,$32.66,$770.52,$117.93,$58.60,,
잡화 수익,"$21,111.45",8/9/2018 Thu,"$1,436.13",$267.52,$0.00,$3.48,$923.04,,,$47.73,$63.70,,"-$1,006.11",$674.78,70.70%,46.99%,67.07%,,,,,,,,,,,,$430.02,,8/9/2018 Thu,"$1,436.13",$267.52,$3.48,$923.04,$47.73,$63.70,,
토바코 수익,"$1,619.48",8/10/2018 Fri,"$1,670.52",$319.38,$98.90,$10.35,$968.08,,,$55.12,$66.71,,"-$1,358.16","$1,087.95",63.75%,65.13%,80.10%,,,,,,,,,,,,$312.36,,8/10/2018 Fri,"$1,670.52",$418.28,$10.35,$968.08,$55.12,$66.71,,
맥주 수익,"$1,197.65",8/11/2018 Sat,"$1,442.71",$234.52,$0.00,$19.43,$903.21,,,$105.18,$49.11,,"-$1,409.64","$1,049.37",68.87%,72.74%,74.44%,,,,,,,,,,,,$33.07,,8/11/2018 Sat,"$1,442.71",$234.52,$19.43,$903.21,$105.18,$49.11,,
,,8/12/2018 Sun,"$1,079.18",$310.16,$0.00,$19.69,$575.99,,,$69.56,$5.58,,-$680.89,$500.13,58.71%,46.34%,73.45%,,,,,,,,,,,,$398.29,,8/12/2018 Sun,"$1,079.18",$310.16,$19.69,$575.99,$69.56,$5.58,,
,,8/13/2018 Mon,"$1,265.84",$254.61,$0.00,$14.72,$757.89,,,$89.08,$34.36,,-$974.29,$652.79,65.86%,51.57%,67.00%,,Week 21,"$1,250.98",$258.38,$35.54,$10.90,$751.83,,,$54.51,$26.40,$291.55,"$1,649.57",8/13/2018 Mon,"$1,265.84",$254.61,$14.72,$757.89,$89.08,$34.36,,
,,8/14/2018 Tue,$971.73,$217.30,$157.80,$9.47,$437.31,,,$46.09,$15.37,,-$896.86,$518.44,49.50%,53.35%,57.81%,,,,,,,,,,,,$74.87,,8/14/2018 Tue,$971.73,$375.10,$9.47,$437.31,$46.09,$15.37,,
,,8/15/2018 Wed,"$1,206.32",$274.72,$0.00,$19.31,$711.66,,,$60.62,$30.26,,-$630.30,$407.79,64.89%,33.80%,64.70%,,,,,,,,,,,,$576.02,,8/15/2018 Wed,"$1,206.32",$274.72,$19.31,$711.66,$60.62,$30.26,,
,,8/16/2018 Thu,"$1,046.60",$337.56,-$87.82,$13.92,$621.46,,,$49.39,$16.85,,"-$1,518.55",$818.53,65.32%,78.21%,53.90%,,,,,,,,,,,,-$471.95,,8/16/2018 Thu,"$1,046.60",$249.74,$13.92,$621.46,$49.39,$16.85,,
,,8/17/2018 Fri,"$1,275.90",$203.66,$0.00,$5.71,$868.98,,,$46.28,$38.00,,"-$1,020.92",$734.14,74.92%,57.54%,71.91%,,,,,,,,,,,,$254.98,,8/17/2018 Fri,"$1,275.90",$203.66,$5.71,$868.98,$46.28,$38.00,,
,,8/18/2018 Sat,"$1,577.50",$305.18,$98.90,$8.08,$949.69,,,$45.93,$26.23,,"-$1,222.29",$870.60,66.22%,55.19%,71.23%,,,,,,,,,,,,$355.21,,8/18/2018 Sat,"$1,577.50",$404.08,$8.08,$949.69,$45.93,$26.23,,
,,8/19/2018 Sun,"$1,412.95",$215.63,$79.90,$5.11,$915.83,,,$44.20,$23.75,,-$844.06,$657.25,71.30%,46.52%,77.87%,,,,,,,,,,,,$568.89,,8/19/2018 Sun,"$1,412.95",$295.53,$5.11,$915.83,$44.20,$23.75,,
,,8/20/2018 Mon,"$1,220.11",$137.40,$75.90,$3.58,$826.32,,,$45.86,$20.05,,-$877.31,$643.46,74.50%,52.74%,73.34%,,Week 22,"$1,149.82",$202.16,$67.01,$6.60,$674.92,,,$53.03,$53.25,$342.80,"$2,959.55",8/20/2018 Mon,"$1,220.11",$213.30,$3.58,$826.32,$45.86,$20.05,,
,,8/21/2018 Tue,$675.09,$188.40,$0.00,$5.47,$320.13,,,$72.52,$29.93,,-$398.06,$227.07,52.16%,33.64%,57.04%,,,,,,,,,,,,$277.03,,8/21/2018 Tue,$675.09,$188.40,$5.47,$320.13,$72.52,$29.93,,
,,8/22/2018 Wed,$875.00,$209.85,$149.30,$13.04,$453.36,,,$12.12,$37.33,,-$617.49,$484.43,56.99%,55.36%,78.45%,,,,,,,,,,,,$257.51,,8/22/2018 Wed,$875.00,$359.15,$13.04,$453.36,$12.12,$37.33,,
,,8/23/2018 Thu,"$1,098.96",$216.92,$0.00,$7.32,$700.05,,,$64.19,$10.47,,-$711.72,$506.72,70.07%,46.11%,71.20%,,,,,,,,,,,,$387.24,,8/23/2018 Thu,"$1,098.96",$216.92,$7.32,$700.05,$64.19,$10.47,,
,,8/24/2018 Fri,"$1,534.36",$283.60,$79.90,$8.95,$884.48,,,$52.36,$85.48,,-$920.64,$712.33,63.41%,46.43%,77.37%,,,,,,,,,,,,$613.72,,8/24/2018 Fri,"$1,534.36",$363.50,$8.95,$884.48,$52.36,$85.48,,
,,8/25/2018 Sat,"$1,602.99",$142.80,$89.10,$3.48,"$1,011.33",,,$66.10,$144.37,,-$909.65,$694.77,69.40%,43.34%,76.38%,,,,,,,,,,,,$693.34,,8/25/2018 Sat,"$1,602.99",$231.90,$3.48,"$1,011.33",$66.10,$144.37,,
,,8/26/2018 Sun,"$1,042.20",$236.14,$74.90,$4.38,$528.76,,,$58.05,$45.13,,-$654.29,$486.71,55.81%,46.70%,74.39%,,,,,,,,,,,,$387.91,,8/26/2018 Sun,"$1,042.20",$311.04,$4.38,$528.76,$58.05,$45.13,,
,,8/27/2018 Mon,"$1,175.60",$207.71,$215.70,$14.74,$595.50,,,$44.37,$21.71,,-$833.98,$653.09,55.72%,55.55%,78.31%,,Week 23,"$1,246.99",$222.04,$119.99,$12.81,$710.65,,,$45.84,$26.64,$341.62,"$2,886.38",8/27/2018 Mon,"$1,175.60",$423.41,$14.74,$595.50,$44.37,$21.71,,
,,8/28/2018 Tue,$942.25,$126.50,$170.80,$0.25,$486.69,,,$29.56,$42.69,,-$592.54,$444.05,56.82%,47.13%,74.94%,,,,,,,,,,,,$349.71,,8/28/2018 Tue,$942.25,$297.30,$0.25,$486.69,$29.56,$42.69,,
,,8/29/2018 Wed,$952.62,$116.06,$79.90,$9.16,$598.58,,,$29.42,$32.82,,-$667.81,$546.97,69.12%,57.42%,81.91%,,,,,,,,,,,,$284.81,,8/29/2018 Wed,$952.62,$195.96,$9.16,$598.58,$29.42,$32.82,,
,,8/30/2018 Thu,$948.32,$242.07,$0.00,$27.30,$557.49,,,$8.25,$26.92,,-$555.29,$426.76,64.67%,45.00%,76.85%,,,,,,,,,,,,$393.03,,8/30/2018 Thu,$948.32,$242.07,$27.30,$557.49,$8.25,$26.92,,
,,8/31/2018 Fri,"$1,623.89",$512.33,$71.90,$20.34,$762.01,,,$87.30,$22.25,,"-$1,065.56",$823.66,51.62%,50.72%,77.30%,,,,,,,,,,,,$558.33,,8/31/2018 Fri,"$1,623.89",$584.23,$20.34,$762.01,$87.30,$22.25,,
2018년 9월,매출 보고,9/1/2018 Sat,"$1,799.47",$176.51,$157.80,$10.24,"$1,221.12",,,$47.76,$22.33,,"-$1,063.44",$810.19,74.65%,45.02%,76.19%,,,,,,,,,,,,$736.03,,9/1/2018 Sat,"$1,799.47",$334.31,$10.24,"$1,221.12",$47.76,$22.33,,
,,9/2/2018 Sun,"$1,286.79",$173.12,$143.80,$7.65,$753.14,,,$74.22,$17.78,,"-$1,063.94",$814.75,64.38%,63.32%,76.58%,,,,,,,,,,,,$222.85,,9/2/2018 Sun,"$1,286.79",$316.92,$7.65,$753.14,$74.22,$17.78,,
실제 수익,"$41,837.28",9/3/2018 Mon,"$1,332.49",$254.91,$75.90,$16.76,$794.80,,,$41.40,$27.46,,-$985.40,$759.15,65.61%,56.97%,77.04%,,Week 24,"$1,353.96",$207.66,$46.44,$11.24,$862.65,,,$64.72,$39.85,$347.09,"$2,191.16",9/3/2018 Mon,"$1,332.49",$330.81,$16.76,$794.80,$41.40,$27.46,,
보고 수익,"$29,963.19",9/4/2018 Tue,"$1,681.49",$262.45,$0.00,$11.35,"$1,094.96",,,$145.76,$26.56,,"-$1,128.10",$882.67,71.63%,52.49%,78.24%,,,,,,,,,,,,$553.39,,9/4/2018 Tue,"$1,681.49",$262.45,$11.35,"$1,094.96",$145.76,$26.56,,
카드 수익,"$23,055.07",9/5/2018 Wed,"$1,149.24",$227.13,$72.90,$18.62,$655.56,,,$31.43,$39.03,,-$993.70,$743.59,62.75%,64.70%,74.83%,,,,,,,,,,,,$155.54,,9/5/2018 Wed,"$1,149.24",$300.03,$18.62,$655.56,$31.43,$39.03,,
,"$6,908.12",9/6/2018 Thu,"$1,230.26",$114.47,$98.90,$12.88,$806.50,,,$25.18,$60.42,,"-$1,084.18",$841.45,72.11%,68.40%,77.61%,,,,,,,,,,,,$146.08,,9/6/2018 Thu,"$1,230.26",$213.37,$12.88,$806.50,$25.18,$60.42,,
담배 수익,"$8,539.98",9/7/2018 Fri,"$1,618.30",$195.54,$77.40,$7.42,"$1,126.14",,,$54.98,$9.57,,"-$1,328.26",$999.60,76.55%,61.77%,75.26%,,,,,,,,,,,,$290.04,,9/7/2018 Fri,"$1,618.30",$272.94,$7.42,"$1,126.14",$54.98,$9.57,,
그로서리 수익,$296.39,9/8/2018 Sat,"$1,277.73",$189.84,$0.00,$5.78,$836.24,,,$59.12,$70.50,,-$941.70,$749.54,71.99%,58.66%,79.59%,,,,,,,,,,,,$336.03,,9/8/2018 Sat,"$1,277.73",$189.84,$5.78,$836.24,$59.12,$70.50,,
잡화 수익,"$25,649.66",9/9/2018 Sun,"$1,188.22",$209.26,$0.00,$5.87,$724.36,,,$95.19,$45.44,,-$825.23,$664.52,67.06%,55.93%,80.53%,,,,,,,,,,,,$362.99,,9/9/2018 Sun,"$1,188.22",$209.26,$5.87,$724.36,$95.19,$45.44,,
토바코 수익,"$1,957.71",9/10/2018 Mon,"$1,707.89",$167.09,$157.80,$12.04,"$1,028.81",,,$171.85,$14.95,,-$828.52,$584.58,66.26%,34.23%,70.56%,,Week 25,"$1,379.48",$185.07,$105.13,$8.81,$865.93,,,$73.95,$32.69,$879.37,"$3,738.28",9/10/2018 Mon,"$1,707.89",$324.89,$12.04,"$1,028.81",$171.85,$14.95,,
맥주 수익,"$1,116.69",9/11/2018 Tue,"$1,256.78",$193.40,$0.00,$2.98,$857.36,,,$54.47,$34.23,,-$540.45,$337.95,75.04%,26.89%,62.53%,,,,,,,,,,,,$716.33,,9/11/2018 Tue,"$1,256.78",$193.40,$2.98,$857.36,$54.47,$34.23,,
,,9/12/2018 Wed,"$1,690.08",$240.85,$217.70,$12.11,$971.78,,,$61.74,$32.16,,"-$1,177.29",$876.12,63.25%,51.84%,74.42%,,,,,,,,,,,,$512.79,,9/12/2018 Wed,"$1,690.08",$458.55,$12.11,$971.78,$61.74,$32.16,,
,,9/13/2018 Thu,"$1,576.47",$176.11,$79.90,$5.46,"$1,052.11",,,$61.44,$57.99,,-$900.82,$713.72,73.41%,45.27%,79.23%,,,,,,,,,,,,$675.65,,9/13/2018 Thu,"$1,576.47",$256.01,$5.46,"$1,052.11",$61.44,$57.99,,
,,9/14/2018 Fri,"$1,431.02",$233.97,$175.35,$8.65,$793.90,,,$63.10,$25.84,,-$968.96,$786.17,61.03%,54.94%,81.14%,,,,,,,,,,,,$462.06,,9/14/2018 Fri,"$1,431.02",$409.32,$8.65,$793.90,$63.10,$25.84,,
,,9/15/2018 Sat,"$1,290.82",$168.40,$0.00,$10.73,$859.84,,,$86.30,$48.10,,"-$1,015.76",$781.88,73.27%,60.57%,76.97%,,,,,,,,,,,,$275.06,,9/15/2018 Sat,"$1,290.82",$168.40,$10.73,$859.84,$86.30,$48.10,,
,,9/16/2018 Sun,$703.30,$115.64,,$9.69,$497.70,,,$18.74,$15.56,,-$486.28,$283.33,77.84%,40.29%,58.26%,,,,,,,,,,,,$217.02,,9/16/2018 Sun,$703.30,$115.64,$9.69,$497.70,$18.74,$15.56,,
,,9/17/2018 Mon,"$1,477.48",$282.07,$157.80,$12.80,$823.41,,,$44.34,$22.63,,"-$1,109.34",$876.05,61.30%,59.29%,78.97%,,Week 26,"$1,384.38",$235.36,$91.88,$9.90,$818.58,,,$61.86,$36.88,$368.14,"$2,335.95",9/17/2018 Mon,"$1,477.48",$439.87,$12.80,$823.41,$44.34,$22.63,,
,,9/18/2018 Tue,"$1,134.15",$259.11,$71.90,$9.52,$588.29,,,$60.19,$41.94,,-$778.47,$598.78,57.06%,52.80%,76.92%,,,,,,,,,,,,$355.68,,9/18/2018 Tue,"$1,134.15",$331.01,$9.52,$588.29,$60.19,$41.94,,
,,9/19/2018 Wed,"$1,077.35",$238.83,$0.00,$10.25,$651.72,,,$32.05,$46.47,,-$816.83,$675.05,66.54%,62.66%,82.64%,,,,,,,,,,,,$260.52,,9/19/2018 Wed,"$1,077.35",$238.83,$10.25,$651.72,$32.05,$46.47,,
,,9/20/2018 Thu,P,O,W,E,R,,,,O,,U ,T,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,$0.00,,9/20/2018 Thu,P,$0.00,E,$0.00,,O,,
,,9/21/2018 Fri,"$1,905.24",$192.41,$146.80,$16.73,"$1,281.34",,,$43.72,$24.75,,"-$1,529.25","$1,215.92",73.98%,63.82%,79.51%,,,,,,,,,,,,$375.99,,9/21/2018 Fri,"$1,905.24",$339.21,$16.73,"$1,281.34",$43.72,$24.75,,
,,9/22/2018 Sat,"$1,479.61",$185.66,$174.80,$3.27,$825.02,,,$101.29,$54.96,,"-$1,083.36",$774.82,61.34%,52.37%,71.52%,,,,,,,,,,,,$396.25,,9/22/2018 Sat,"$1,479.61",$360.46,$3.27,$825.02,$101.29,$54.96,,
,,9/23/2018 Sun,"$1,232.43",$254.10,$0.00,$6.83,$741.72,,,$89.58,$30.51,,-$653.06,$465.81,66.20%,37.80%,71.33%,,,,,,,,,,,,$579.37,,9/23/2018 Sun,"$1,232.43",$254.10,$6.83,$741.72,$89.58,$30.51,,
